Date,Symbol,users_holding
2018,Communication Services,30378.013619282316
2018,Consumer Discretionary,9154.707009928303
2018,Consumer Staples,4691.787313938585
2018,Energy,2028.2575543756973
2018,Financials,2737.7850700887575
2018,Health Care,2142.391454207845
2018,Industrials,4610.872628137699
2018,Information Technology,14288.381102575666
2018,Materials,842.9898293140678
2018,Real Estate,1094.739498469734
2018,Utilities,894.2359175508968
2019,Communication Services,31824.549820355765
2019,Consumer Discretionary,11689.606953921146
2019,Consumer Staples,6758.363199853616
2019,Energy,2972.8846825539126
2019,Financials,3302.0313874739345
2019,Health Care,2933.5359617088616
2019,Industrials,6789.788356946435
2019,Information Technology,16111.769776253896
2019,Materials,1039.172437563082
2019,Real Estate,1469.887956113158
2019,Utilities,1163.7974637748166
2020,Communication Services,54582.07564576545
2020,Consumer Discretionary,38077.88965269768
2020,Consumer Staples,13209.794912819661
2020,Energy,21211.07043905718
2020,Financials,9321.027918379135
2020,Health Care,6578.194269900159
2020,Industrials,28003.179972889102
2020,Information Technology,23837.248626558052
2020,Materials,2196.3907325064406
2020,Real Estate,3549.3937197191553
2020,Utilities,2185.655305274234
