,Year,Symbol,avg_users_holding
0,2018,Communication Services,30378.013619282316
1,2018,Consumer Discretionary,9154.707009928303
2,2018,Consumer Staples,4691.787313938585
3,2018,Energy,2028.2575543756973
4,2018,Financials,2737.7850700887575
5,2018,Health Care,2142.391454207845
6,2018,Industrials,4610.872628137699
7,2018,Information Technology,14288.381102575666
8,2018,Materials,842.9898293140678
9,2018,Real Estate,1094.739498469734
10,2018,Utilities,894.2359175508968
11,2019,Communication Services,31824.549820355765
12,2019,Consumer Discretionary,11689.606953921146
13,2019,Consumer Staples,6758.363199853616
14,2019,Energy,2972.8846825539126
15,2019,Financials,3302.0313874739345
16,2019,Health Care,2933.5359617088616
17,2019,Industrials,6789.788356946435
18,2019,Information Technology,16111.769776253896
19,2019,Materials,1039.172437563082
20,2019,Real Estate,1469.887956113158
21,2019,Utilities,1163.7974637748166
22,2020,Communication Services,54582.07564576545
23,2020,Consumer Discretionary,38077.88965269768
24,2020,Consumer Staples,13209.794912819661
25,2020,Energy,21211.07043905718
26,2020,Financials,9321.027918379135
27,2020,Health Care,6578.194269900159
28,2020,Industrials,28003.179972889102
29,2020,Information Technology,23837.248626558052
30,2020,Materials,2196.3907325064406
31,2020,Real Estate,3549.3937197191553
32,2020,Utilities,2185.655305274234
